Unnamed: 0,name,source,RT_Amide6min,IsomericSMILES,RT,Predicted_RT,是否可定制
72,73,biotree,158.4,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@H](CO[C@H]2O[C@H]3CC[C@@]4([C@H]5CC[C@@H]6[C@H](CC[C@]6([C@@]5(CC[C@H]4C3(C)C)C)C)[C@@](CCC=C(C)C)(CO[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)C=O)O)O[C@H]8[C@@H]([C@H]([C@@H](CO8)O)O)O)O)O)O,2.64,2.6311755,是
73,74,biotree,120.0,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,2.0,2.1299093,是
74,75,biotree,135.6,C[C@@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)O)O[C@H]9[C@@H]([C@@H]([C@H]([C@@H](O9)C)O)O)O)C)C)C)OC1,2.26,2.378615,是
75,76,biotree,166.8,C/C=C(\C)/C(=O)O[C@H]1[C@@H]([C@@]2([C@@H](C[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H]([C@]5(C)CO)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)C)C)[C@@H]2CC1(C)C)C)O)COC(=O)C)O,2.78,3.0207245,是
76,77,biotree,127.8,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)O)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C,2.13,2.1637828,是
77,78,biotree,170.4,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)C)OC9C(C(C(CO9)O)O)OC1C(C(C(C(O1)C)O)O)O)C)(C)C)O)O)O)CO)O)O)O,2.8400000000000003,2.9284697,是
78,79,biotree,136.2,CC(=C[C@@H]1CO[C@]23C[C@]4(CO2)[C@@H]([C@H]3[C@@]1(C)O)CC[C@H]5[C@]4(CC[C@@H]6[C@@]5(CC[C@@H](C6(C)C)O[C@H]7[C@@H]([C@H]([C@H](CO7)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)COS(=O)(=O)O)O)O)O)O[C@H]9[C@@H]([C@H]([C@@H](O9)CO)O)O)C)C)C,2.27,2.2965863,是
79,80,biotree,166.8,C/C=C(/C)\C(=O)O[C@H]1[C@@H]([C@@]2([C@@H](C[C@@]3(C(=CC[C@H]4[C@]3(CC[C@@H]5[C@@]4(CC[C@@H]([C@]5(C)CO)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)C(=O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)C)C)[C@@H]2CC1(C)C)C)O)COC(=O)C)O,2.78,2.9504428,是
80,81,biotree,159.6,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2[C@@H]([C@H](O[C@H]([C@@H]2O)O[C@H]3CC[C@]4([C@H](C3(C)C)CC[C@@]5([C@@H]4CC=C6[C@]5(CC[C@@]7([C@H]6CC(CC7)(C)C)C(=O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O)C)C)C)C(=O)O)O)O)O)O,2.66,2.7357256,是
81,82,biotree,171.6,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OCC3C(C(C(C(O3)OC(=O)C45CCC(CC4C6=CCC7C8(CCC(C(C8CCC7(C6(CC5)C)C)(C)CO)OC9C(C(C(CO9)O)O)O)C)(C)C)O)O)O)CO)O)O)O,2.86,2.874603,是
